NLM_ID,Journal,Indexation Medline,2020_IF,2020_Rank,2021_IF,2021_Rank,2022_IF,2022_Rank,2023_IF,2023_Rank,2024_IF,2024_Rank,Latest_Rank
9875136,1199 News,Non,NC,NC,NC,NC,10.495,NC,NC,NC,NC,NC,NC
101625680,19 (Lond),Non,NC,NC,NC,NC,3.011,NC,NC,NC,NC,NC,NC
101522936,19th Century Music,Non,NC,NC,NC,NC,12.364,NC,NC,NC,NC,NC,NC
101693999,2013 IEEE 26th Int Conf Micro Electro Mech Syst MEMS 2013 (2013),Non,NC,NC,NC,NC,19.394,NC,NC,NC,NC,NC,D
101715222,2015 IEEE Signal Process Signal Process Educ Workshop SP SPE (2015),Non,NC,NC,NC,NC,17.485,NC,NC,NC,NC,NC,E
101723288,2017 Des Med Devices Conf (2017),Non,NC,NC,NC,NC,6.091,NC,NC,NC,NC,NC,NC
101720367,2017 IEEE Sens Appl Symp (SAS) (2017),Non,NC,NC,NC,NC,15.996,NC,NC,NC,NC,NC,E
101732378,2018 Des Med Devices Conf (2018),Non,NC,NC,NC,NC,8.8,NC,NC,NC,NC,NC,C
101752449,2019 Des Med Devices Conf (2019),Non,NC,NC,NC,NC,19.213,NC,NC,NC,NC,NC,C
101771091,2019 IEEE SmartWorld Ubiquitous Intell Comput Adv Trust Comput Scalable Comput Commun Cloud Big Data Comput Internet People Smart City Innov (2019),Non,NC,NC,NC,NC,0.971,NC,NC,NC,NC,NC,NC
101778514,2020 IEEE 21st Int Conf Inf Reuse Integr Data Sci (2020),Non,NC,NC,NC,NC,0.354,NC,NC,NC,NC,NC,C
9918317787406676,2020 IEEE Conf Virtual Real 3D User Interfaces Workshops (2020),Non,NC,NC,NC,NC,3.74,NC,NC,NC,NC,NC,NC
9918317680306676,2021 IEEE Int Conf Digit Health ICDH (2021),Non,NC,NC,NC,NC,17.358,NC,NC,NC,NC,NC,A
9918697476106676,2022 IEEE Int Conf Digit Health IEEE IDCH 2022 (2022),Non,NC,NC,NC,NC,6.666,NC,NC,NC,NC,NC,D
9918900334106676,2023 19th Int Symp Med Inf Process Anal SIPAIM (2023),Non,NC,NC,NC,NC,8.851,NC,NC,NC,NC,NC,NC
9918787288606676,2023 IEEE 20th Int Conf Smart Communities Improv Qual Life Using AI Robot IoT HONET (2023),Non,NC,NC,NC,NC,9.361,NC,NC,NC,NC,NC,C
9918680988506676,2023 IEEE Conf Artif Intell (2023),Non,NC,NC,NC,NC,2.047,NC,NC,NC,NC,NC,B
9918714088906676,2023 IEEE Conf Virtual Real 3D User Interfaces Abstr Workshops,Non,NC,NC,NC,NC,12.6,NC,NC,NC,NC,NC,A
9918900937006676,2023 IEEE Int Symp Antennas Propag USNC URSI Radio Sci Meet AP S URSI 2023 (2023),Non,NC,NC,NC,NC,19.047,NC,NC,NC,NC,NC,D
9918663674806676,2023 IEEE Symp VLSI Technol Circuits (2023),Non,NC,NC,NC,NC,2.644,NC,NC,NC,NC,NC,NC
9919033200006676,2023 Int Conf Next Gener Electron NEleX (2023),Non,NC,NC,NC,NC,2.648,NC,NC,NC,NC,NC,A
9918697389006676,2023 Intell Method Syst Appl (2023),Non,NC,NC,NC,NC,7.752,NC,NC,NC,NC,NC,NC
9918900932006676,2024 IEEE 3rd Workshop Mach Learn Edge Sens Syst (2024),Non,NC,NC,NC,NC,0.198,NC,NC,NC,NC,NC,NC
9918994792406676,2024 IEEE Int Conf Ehealth Netw Appl Serv HealthCom (2024),Non,NC,NC,NC,NC,15.755,NC,NC,NC,NC,NC,D
9918900799606676,2024 IEEE Radar Conf RadarConf24 (2024),Non,NC,NC,NC,NC,17.043,NC,NC,NC,NC,NC,NC
9918935628506676,2024 Int Conf Act Behav Comput (2024),Non,NC,NC,NC,NC,8.787,NC,NC,NC,NC,NC,B
9918994793006676,2025 8th Int Conf Data Sci Mach Learn Appl (2025),Non,NC,NC,NC,NC,19.186,NC,NC,NC,NC,NC,NC
9015384,20 Century Br Hist,Oui,NC,NC,NC,NC,0.281,NC,NC,NC,NC,NC,D
9918486677806676,21 Century Pathol,Non,NC,NC,NC,NC,15.921,NC,NC,NC,NC,NC,NC
100971611,21st Century Sci Technol,Non,NC,NC,NC,NC,18.192,NC,NC,NC,NC,NC,A
